# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr 27 07:01:44 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_dens,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_logg,st_dens,sy_dist
K2-246 b,K2-246,Transit,2018,5.76918000,0.060200,3.490,1.550000,,977,5610.00,0.94,0.87,4.43,1.68077,703.6160000
K2-247 b,K2-247,Transit,2018,2.25021000,0.030400,2.120,2.960000,,979,4667.00,0.69,0.74,4.63,2.03810,258.1130000
K2-247 c,K2-247,Transit,2018,6.49424000,0.061500,2.190,2.840000,,688,4667.00,0.69,0.74,4.63,2.03810,258.1130000
K2-248 b,K2-248,Transit,2018,7.17256000,0.069900,2.570,2.310000,,886,5528.00,0.92,0.88,4.45,1.82647,406.2540000
K2-249 b,K2-249,Transit,2018,12.40900000,0.115100,2.790,2.070000,,1061,6504.00,1.57,1.32,4.16,0.31728,521.7160000
K2-25 b,K2-25,Transit,2015,3.48456408,0.028700,3.440,3.310000,0.428000,494,3207.00,0.29,0.26,4.94,14.60000,44.9565000
K2-250 b,K2-250,Transit,2018,4.01457000,0.045900,2.440,2.470000,,958,5172.00,0.81,0.80,4.53,1.89682,414.7080000
K2-251 b,K2-251,Transit,2018,9.30075000,0.069400,2.350,2.590000,,437,3717.00,0.49,0.52,4.76,5.74380,147.0300000
K2-252 b,K2-252,Transit,2018,13.81513000,0.104100,1.740,3.840000,,639,5152.00,0.82,0.79,4.50,2.04024,228.8390000
K2-253 b,K2-253,Transit,2018,4.00167000,0.050600,12.670,,,1238,6027.00,1.10,1.08,4.39,1.01569,876.5650000
K2-254 b,K2-254,Transit,2018,4.09639000,0.044800,1.630,4.170000,,791,4629.00,0.67,0.71,4.64,2.71073,227.7750000
K2-254 c,K2-254,Transit,2018,12.11839000,0.092300,2.190,2.840000,,551,4629.00,0.67,0.71,4.64,2.71073,227.7750000
K2-255 b,K2-255,Transit,2018,1.96417000,0.027400,2.900,1.970000,,1034,4676.00,0.69,0.71,4.62,1.94835,191.6080000
K2-256 b,K2-256,Transit,2018,5.52011000,0.057800,2.630,2.240000,,845,5219.00,0.78,0.84,4.58,3.60257,564.6930000
K2-257 b,K2-257,Transit,2018,1.60588000,0.021600,0.830,4.790000,,789,3725.00,0.50,0.52,4.76,5.56654,64.0065000
K2-258 b,K2-258,Transit,2018,19.09210000,0.149000,3.000,1.890000,,831,6351.00,1.31,1.21,4.29,0.56600,661.8730000
K2-259 b,K2-259,Transit,2018,15.48043000,0.127100,2.320,2.640000,,795,6059.00,1.13,1.14,4.39,1.00719,416.4570000
K2-26 b,K2-26,Transit,2016,14.56650000,0.096200,2.670,2.200000,,430,3785.00,0.52,0.56,4.72,3.92000,99.0504000
K2-260 b,K2-260,Transit,2018,2.62666570,0.040400,17.396,0.500000,0.000000,1957,6367.00,1.69,1.39,4.15,0.40050,663.8340000
K2-261 b,K2-261,Transit,2018,11.63347800,0.103400,9.528,0.380000,0.286000,1046,5445.00,1.64,1.09,4.04,0.34600,213.2830000
K2-263 b,K2-263,Transit,2018,50.81894700,0.257300,2.410,5.800000,0.150000,470,5368.00,0.85,0.88,4.51,2.02000,162.4810000
K2-264 b,K2-264,Transit,2018,5.84000200,0.050230,2.231,2.780000,0.500000,496,3660.00,0.47,0.50,4.78,6.61000,185.6050000
K2-264 c,K2-264,Transit,2018,19.66030200,0.112830,2.668,2.200000,0.450000,331,3660.00,0.47,0.50,4.78,6.61000,185.6050000
K2-265 b,K2-265,Transit,2018,2.36917200,0.033760,1.710,7.100000,0.084000,,5477.00,0.98,0.92,4.42,0.98000,138.6710000
K2-266 b,K2-266,Transit,2018,0.65852400,0.013060,3.300,1.720000,,1515,4285.00,0.70,0.69,4.58,2.79000,77.5586000
K2-266 c,K2-266,Transit,2018,7.81400000,0.067900,0.705,4.550000,0.042000,664,4285.00,0.70,0.69,4.58,2.79000,77.5586000
K2-266 d,K2-266,Transit,2018,14.69700000,0.103500,2.930,2.030000,0.047000,538,4285.00,0.70,0.69,4.58,2.79000,77.5586000
K2-266 e,K2-266,Transit,2018,19.48200000,0.124900,2.730,2.210000,0.043000,490,4285.00,0.70,0.69,4.58,2.79000,77.5586000
K2-268 b,K2-268,Transit,2018,2.15167600,0.030800,1.500,4.660000,,1136,5106.00,0.78,0.84,4.58,2.29940,327.7830000
K2-268 c,K2-268,Transit,2018,9.32752700,0.081900,2.690,2.170000,,696,5106.00,0.78,0.84,4.58,2.29940,327.7830000
K2-268 d,K2-268,Transit,2019,4.52859800,,1.490,4.700000,,888,5106.00,0.78,0.84,4.58,2.29940,327.7830000
K2-268 e,K2-268,Transit,2019,6.13124300,,1.330,5.440000,,801,5106.00,0.78,0.84,4.58,2.29940,327.7830000
K2-268 f,K2-268,Transit,2019,26.27057000,,2.230,2.770000,,492,5106.00,0.78,0.84,4.58,2.29940,327.7830000
K2-269 b,K2-269,Transit,2018,4.14496500,0.053100,1.570,4.390000,,1429,6209.00,1.45,1.16,4.18,1.13000,360.7600000
K2-27 b,K2-27,Transit,2016,6.77131500,0.067020,4.480,1.870000,0.251000,902,5248.00,0.89,0.87,4.48,2.04000,249.6450000
K2-270 b,K2-270,Transit,2018,1.54306900,0.024700,1.380,5.190000,,1203,4877.00,0.77,0.85,4.59,1.88623,280.5180000
K2-270 c,K2-270,Transit,2018,4.40002800,0.049700,2.950,1.930000,,848,4877.00,0.77,0.85,4.59,1.88623,280.5180000
K2-271 b,K2-271,Transit,2018,8.56242100,0.077000,7.280,0.595000,,893,5644.00,0.99,0.83,4.37,2.28400,564.4540000
K2-272 b,K2-272,Transit,2018,14.45367560,0.100700,3.130,1.780000,,747,5397.00,0.83,0.86,4.53,2.57700,423.0650000
K2-273 b,K2-273,Transit,2018,11.71956630,0.072900,3.050,1.850000,,849,5161.00,0.85,0.89,4.53,0.03700,308.1050000
K2-274 b,K2-274,Transit,2018,14.13303140,0.096400,2.080,3.040000,,655,5044.00,0.70,0.79,4.64,2.98894,228.3270000
K2-275 b,K2-275,Transit,2018,3.28096260,0.027700,2.340,2.610000,,1166,4841.00,0.69,0.77,4.65,2.73722,123.4380000
K2-275 c,K2-275,Transit,2018,8.43883850,0.088100,2.210,2.810000,,653,4841.00,0.69,0.77,4.65,2.73722,123.4380000
K2-276 b,K2-276,Transit,2018,18.71826900,0.129100,3.770,1.400000,,583,5139.00,0.85,0.82,4.49,0.50500,488.1520000
K2-277 b,K2-277,Transit,2018,6.32676300,0.067500,2.070,3.060000,,958,5741.00,0.97,1.02,4.48,6.93600,113.1230000
K2-278 b,K2-278,Transit,2018,3.33496600,0.048800,2.980,1.900000,,1711,6747.00,1.61,1.40,4.17,0.41300,786.4390000
K2-279 b,K2-279,Transit,2018,7.12260500,0.067000,1.210,5.960000,,879,5558.00,0.86,0.79,4.46,1.13000,182.9830000
K2-28 b,K2-28,Transit,2016,2.26045500,0.021400,2.320,2.640000,0.000000,568,3214.00,0.29,0.26,4.93,15.20000,62.9969000
K2-280 b,K2-280,Transit,2018,19.89526000,0.146100,7.500,0.480000,0.350000,787,5500.00,1.28,1.03,4.21,0.80000,391.5370000
K2-281 b,K2-281,Transit,2018,8.68772100,0.077300,8.180,0.511000,,665,4812.00,0.76,0.82,4.59,4.35400,458.1390000
K2-282 b,K2-282,Transit,2018,4.16978300,0.049900,2.500,2.390000,,1057,5499.00,1.00,0.95,4.50,1.44200,496.2890000
K2-283 b,K2-283,Transit,2018,1.92103600,0.029100,3.520,1.540000,,1186,5060.00,0.82,0.89,4.56,2.86100,402.9150000
K2-284 b,K2-284,Transit,2018,4.79506900,0.047710,2.780,2.080000,0.078000,653,4140.00,0.61,0.63,4.67,3.91000,107.2720000
K2-285 b,K2-285,Transit,2018,3.47174500,0.038170,2.590,3.070000,0.000000,1089,4975.00,0.79,0.83,4.40,2.51200,154.9610000
K2-285 c,K2-285,Transit,2018,7.13804800,0.082400,3.530,1.950000,0.000000,741,4975.00,0.79,0.83,4.40,2.51200,154.9610000
K2-285 d,K2-285,Transit,2018,10.45582000,0.117800,2.480,,0.000000,620,4975.00,0.79,0.83,4.40,2.51200,154.9610000
K2-285 e,K2-285,Transit,2018,14.76289000,0.180410,1.950,,0.000000,501,4975.00,0.79,0.83,4.40,2.51200,154.9610000
K2-286 b,K2-286,Transit,2018,27.35900000,0.176800,2.100,3.000000,,347,3926.00,0.62,0.64,4.70,3.41329,76.1486000
K2-287 b,K2-287,Transit,2018,14.89329100,0.120600,9.494,0.643000,0.478000,804,5695.00,1.07,1.06,4.40,1.21700,158.3350000
K2-288 B b,K2-288 B,Transit,2018,31.39346300,0.164000,1.900,3.420000,,226,3341.00,0.32,0.33,4.96,14.20000,65.6138000
K2-289 b,K2-289,Transit,2019,13.15696900,0.107000,9.100,0.445000,,753,5529.00,1.02,0.95,4.39,1.24000,274.3000000
K2-29 b,K2-29,Transit,2016,3.25883210,0.042170,13.339,0.530000,0.066000,1171,5358.00,0.86,0.94,4.54,2.90000,178.4750000
K2-290 b,K2-290,Transit,2019,9.21165000,0.092300,3.060,4.100000,0.000000,1230,6302.00,1.51,1.19,4.23,0.48500,272.9090000
K2-290 c,K2-290,Transit,2019,48.36685000,0.305000,11.276,1.010000,0.000000,676,6302.00,1.51,1.19,4.23,0.48500,272.9090000
K2-291 b,K2-291,Transit,2019,2.22517700,0.032610,1.589,8.840000,0.000000,1301,5520.00,0.90,0.93,4.50,1.77000,90.0562000
K2-292 b,K2-292,Transit,2019,16.98410000,0.130000,2.630,7.400000,0.040000,795,5725.00,1.09,1.00,4.33,1.14000,114.2930000
K2-293 b,K2-293,Transit,2019,13.12250000,,2.450,2.450000,,750,5532.00,0.95,0.96,4.52,1.68821,392.2510000
K2-294 b,K2-294,Transit,2019,2.50387000,,1.660,4.070000,,1425,5612.00,1.20,0.99,4.20,0.89260,373.0780000
K2-295 b,K2-295,Transit,2018,4.02486700,0.045100,10.054,0.612000,0.000000,852,4444.00,0.70,0.74,4.63,3.04300,232.8010000
K2-3 b,K2-3,Transit,2015,10.05465350,0.074700,2.078,3.110000,0.107000,501,3844.00,0.55,0.55,4.70,4.78000,44.0727000
K2-3 c,K2-3,Transit,2015,24.64672900,0.135700,1.582,3.700000,0.048000,372,3844.00,0.55,0.55,4.70,4.78000,44.0727000
K2-3 d,K2-3,Transit,2015,44.55603000,0.201400,1.458,17.500000,0.091000,305,3844.00,0.55,0.55,4.70,4.78000,44.0727000
K2-30 b,K2-30,Transit,2016,4.09850300,0.048390,11.646,0.640000,0.000000,1092,5425.00,0.84,0.90,4.54,2.11000,333.0420000
K2-308 b,K2-308,Transit,2019,3.38628000,,9.916,0.398000,,1214,6100.00,1.24,1.09,3.94,,1314.5300000
K2-31 b,K2-31,Transit,2016,1.25785000,0.022000,11.882,1.850000,0.000000,,5280.00,0.78,0.91,4.60,1.19289,110.5270000
K2-312 c,HD 80653,Radial Velocity,2023,921.20000000,1.961000,12.800,4.510000,0.853000,,5959.00,1.22,1.18,4.34,0.90000,109.8600000
K2-315 b,K2-315,Transit,2020,3.14431890,,0.950,5.180000,,460,3300.00,0.20,0.17,5.09,32.60000,56.9686000
K2-316 b,K2-316,Transit,2020,1.13300000,0.014700,1.330,5.440000,,841,3436.00,0.38,0.41,4.89,10.82654,112.4860000
K2-316 c,K2-316,Transit,2020,5.26000000,0.058200,1.830,3.600000,,423,3436.00,0.38,0.41,4.89,10.82654,112.4860000
K2-317 b,K2-317,Transit,2020,6.22000000,0.054200,2.930,1.950000,,432,3387.00,0.38,0.40,4.89,11.58286,176.2910000
K2-318 b,K2-318,Transit,2020,7.01000000,0.091100,1.660,4.070000,,456,3851.00,0.55,0.56,4.70,4.49344,147.8660000
K2-319 b,K2-319,Transit,2020,26.68000000,0.151600,2.790,2.070000,,641,5440.00,0.90,0.95,4.51,1.62082,209.0710000
K2-32 b,K2-32,Transit,2016,8.99200000,0.079500,5.299,0.550000,0.030000,837,5271.00,0.86,0.83,4.49,1.83277,157.6820000
K2-32 c,K2-32,Transit,2016,20.66093000,0.138430,3.134,1.430000,0.049000,634,5271.00,0.86,0.83,4.49,1.83277,157.6820000
K2-32 d,K2-32,Transit,2016,31.71701000,0.184220,3.484,0.870000,0.050000,550,5271.00,0.86,0.83,4.49,1.83277,157.6820000
K2-32 e,K2-32,Transit,2019,4.34934000,0.048990,1.212,6.300000,0.043000,1066,5271.00,0.86,0.83,4.49,1.83277,157.6820000
K2-320 b,K2-320,Transit,2020,1.99500000,0.014200,2.620,2.250000,,698,3157.00,0.30,0.12,4.55,16.90184,108.7400000
K2-321 b,K2-321,Transit,2020,2.29800000,0.041000,1.950,3.310000,,701,3855.00,0.58,0.60,4.68,3.97279,77.6888000
K2-322 b,K2-322,Transit,2020,8.20500000,0.059400,1.920,3.380000,,635,4141.00,0.60,0.63,4.68,3.57867,123.4150000
K2-323 b,K2-323,Transit,2020,24.93000000,0.127500,2.100,3.000000,,318,3710.00,0.55,0.48,4.63,4.86477,118.3180000
K2-324 b,K2-324,Transit,2020,3.26200000,0.033100,2.430,2.480000,,707,3752.00,0.51,0.52,4.74,5.31375,136.6670000
K2-325 b,K2-325,Transit,2020,6.93000000,0.041900,2.200,2.830000,,423,3287.00,0.30,0.27,4.84,14.63907,111.6380000
K2-326 b,K2-326,Transit,2020,1.25600000,0.019800,2.280,2.700000,,1114,3924.00,0.69,0.51,4.46,2.80726,282.3080000
K2-329 b,K2-329,Transit,2020,12.45512250,0.101600,8.676,0.694000,0.069700,650,5282.00,0.82,0.90,4.57,2.30000,233.2370000
K2-33 b,K2-33,Transit,2016,5.42486500,0.040900,5.040,,0.000000,850,3540.00,1.05,0.56,4.06,0.72000,139.2680000
K2-330 b,K2-330,Transit,2016,13.77479800,,2.770,2.090000,,969,6232.00,1.50,1.23,4.18,0.54293,160.1250000
K2-331 b,K2-331,Transit,2021,9.39897700,,1.790,3.700000,,909,5994.00,1.06,1.10,4.43,1.22670,211.4300000
K2-331 c,K2-331,Transit,2018,22.99659100,,2.720,2.140000,,673,5994.00,1.06,1.10,4.43,1.22670,211.4300000
K2-332 b,K2-332,Transit,2016,17.70632000,,2.200,2.830000,,266,3315.00,0.28,0.27,4.97,15.36316,123.2020000
K2-333 b,K2-333,Transit,2018,14.75928700,,6.180,0.736000,,826,5880.00,1.22,1.06,4.29,0.84483,343.9900000
K2-334 b,K2-334,Transit,2018,5.11398100,,5.650,0.829000,,1380,6502.00,1.49,1.36,4.22,0.50901,371.8230000
K2-335 b,K2-335,Transit,2016,12.28321100,,2.210,2.810000,,949,6222.00,1.33,1.23,4.28,0.72338,557.9930000
K2-336 b,K2-336,Transit,2016,21.19473300,,1.220,5.990000,,569,5424.00,0.80,0.86,4.56,2.52537,239.2890000
K2-337 b,K2-337,Transit,2016,16.27356300,,2.620,2.250000,,850,5869.00,1.32,0.94,4.17,0.76365,421.6360000
K2-338 b,K2-338,Transit,2016,3.85061400,,1.030,5.430000,,783,4558.00,0.63,0.66,4.65,4.05036,156.9510000
K2-339 b,K2-339,Transit,2019,19.50742800,,1.920,3.380000,,508,4857.00,0.72,0.74,4.59,2.84870,360.3600000
K2-34 b,K2-34,Transit,2016,2.99563480,0.044200,13.750,0.940000,0.000000,1687,6168.00,1.42,1.16,4.20,0.67500,348.6460000
K2-340 b,K2-340,Transit,2016,29.74045100,,3.360,1.620000,,606,5532.00,1.13,0.93,4.30,0.98178,738.1360000
K2-341 b,K2-341,Transit,2018,36.55255100,,3.210,1.730000,,598,5817.00,1.16,0.98,4.30,1.05533,421.4080000
K2-342 b,K2-342,Transit,2018,11.56105200,,2.030,3.140000,,861,5920.00,1.09,1.01,4.36,1.24102,208.3570000
K2-343 b,K2-343,Transit,2019,2.78717400,,1.650,4.110000,,653,3804.00,0.46,0.49,4.80,6.02835,166.1690000
K2-343 c,K2-343,Transit,2018,7.67697200,,2.020,3.160000,,465,3804.00,0.46,0.49,4.80,6.02835,166.1690000
K2-344 b,K2-344,Transit,2018,3.35585000,,1.590,4.310000,,722,4374.00,0.49,0.51,4.76,4.43232,75.1691000
K2-345 b,K2-345,Transit,2016,10.36743700,,2.110,2.980000,,437,3779.00,0.52,0.56,4.74,4.81160,162.4080000
K2-346 b,K2-346,Transit,2016,26.20144600,,2.260,2.730000,,450,4801.00,0.70,0.71,4.60,2.93943,105.5800000
K2-347 b,K2-347,Transit,2016,7.18725700,,2.410,2.510000,,640,4599.00,0.63,0.66,4.65,4.12153,320.3360000
K2-348 b,K2-348,Transit,2018,4.68841800,,3.260,1.700000,,908,5077.00,0.85,0.83,4.50,1.75914,201.8560000
K2-348 c,K2-348,Transit,2018,12.55017100,,2.670,2.200000,,655,5077.00,0.85,0.83,4.50,1.75914,201.8560000
K2-349 b,K2-349,Transit,2016,9.03217800,,1.380,5.190000,,518,4385.00,0.49,0.54,4.78,2.61232,453.5670000
K2-35 b,K2-35,Transit,2016,2.39996400,0.031000,1.320,5.500000,0.130000,979,4402.71,0.62,0.70,4.70,2.02725,252.5960000
K2-35 c,K2-35,Transit,2016,5.60835200,0.055000,1.930,3.350000,0.120000,766,4402.71,0.62,0.70,4.70,2.02725,252.5960000
K2-350 b,K2-350,Transit,2021,4.16387300,,1.540,4.500000,,1158,5789.00,1.04,0.98,4.39,1.57032,489.3680000
K2-350 c,K2-350,Transit,2016,19.99194400,,2.740,2.120000,,687,5789.00,1.04,0.98,4.39,1.57032,489.3680000
K2-351 b,K2-351,Transit,2016,7.80616400,,2.540,2.340000,,934,5769.00,1.05,1.02,4.40,1.29190,694.7340000
K2-352 b,K2-352,Transit,2021,3.66591200,,1.370,5.240000,,1160,5791.00,0.95,0.98,4.47,1.77826,176.0510000
K2-352 c,K2-352,Transit,2018,8.23488500,,1.920,3.380000,,885,5791.00,0.95,0.98,4.47,1.77826,176.0510000
K2-352 d,K2-352,Transit,2018,14.87138700,,2.230,2.770000,,727,5791.00,0.95,0.98,4.47,1.77826,176.0510000
K2-353 b,K2-353,Transit,2021,15.46680500,,5.550,0.845000,,735,5698.00,0.99,0.87,4.38,1.29132,268.5150000
K2-354 b,K2-354,Transit,2016,3.79330600,,1.560,4.410000,,543,3669.00,0.41,0.43,4.86,7.80969,91.7220000
K2-355 b,K2-355,Transit,2021,5.73856470,0.063200,2.250,2.740000,,1066,5790.00,0.92,0.96,4.49,1.65979,500.4970000
K2-356 b,K2-356,Transit,2021,21.02673660,0.159900,2.290,2.680000,,624,5568.00,0.86,0.90,4.52,2.35081,355.5400000
K2-357 b,K2-357,Transit,2021,16.34886370,0.145000,3.720,1.430000,,735,5794.00,1.00,0.98,4.43,1.59481,517.6870000
K2-358 b,K2-358,Transit,2021,11.25102850,0.086300,2.680,2.180000,,888,5650.00,0.91,0.93,4.49,1.84880,480.3070000
K2-36 b,K2-36,Transit,2016,1.42261400,0.022880,1.430,8.000000,0.093000,1328,4916.00,0.72,0.79,4.62,2.99000,109.7490000
K2-36 c,K2-36,Transit,2016,5.34088800,0.055280,3.200,1.300000,0.089000,854,4916.00,0.72,0.79,4.62,2.99000,109.7490000
K2-365 b,K2-365,Transit,2022,23.44817200,,2.906,1.970000,,,5561.00,1.05,0.82,4.31,1.16997,187.2220000
K2-366 b,K2-366,Transit,2022,15.93703900,,2.359,2.580000,,,5601.00,0.94,0.83,4.41,2.01305,185.9470000
K2-367 b,K2-367,Transit,2022,20.64509900,,2.413,2.510000,,,4348.00,0.62,0.76,4.73,4.01648,176.9650000
K2-368 b,K2-368,Transit,2022,5.02559800,,1.332,5.440000,,,4663.00,0.66,0.75,4.67,3.55289,206.6080000
K2-368 c,K2-368,Transit,2022,9.66018600,,1.361,5.270000,,,4663.00,0.66,0.75,4.67,3.55289,206.6080000
K2-368 d,K2-368,Transit,2022,20.20108500,,1.948,3.310000,,,4663.00,0.66,0.75,4.67,3.55289,206.6080000
K2-369 b,K2-369,Transit,2022,5.76161200,,1.313,5.530000,,,5682.00,0.88,0.73,4.42,2.21706,185.5500000
K2-37 b,K2-37,Transit,2016,4.44117000,0.051100,1.610,4.240000,,974,5413.00,0.85,0.90,4.52,1.80561,179.9430000
K2-37 c,K2-37,Transit,2016,6.42904000,0.065400,2.750,2.110000,,861,5413.00,0.85,0.90,4.52,1.80561,179.9430000
K2-37 d,K2-37,Transit,2016,14.09189000,0.110300,2.730,2.130000,,663,5413.00,0.85,0.90,4.52,1.80561,179.9430000
K2-370 b,K2-370,Transit,2022,2.14084000,,3.207,1.730000,,1267,5377.00,0.97,0.98,4.45,1.32288,144.2020000
K2-371 b,K2-371,Transit,2022,3.11490500,,13.024,,,957,4925.00,0.74,0.96,4.68,2.74512,442.8130000
K2-372 b,K2-372,Transit,2022,9.84407700,,2.945,1.930000,,,5479.00,0.92,0.85,4.44,1.54198,463.8800000
K2-373 b,K2-373,Transit,2022,11.02066000,,2.061,3.080000,,,6138.00,1.49,1.16,4.16,0.43067,229.5670000
K2-374 b,K2-374,Transit,2022,4.52195300,,1.593,4.300000,,,5789.00,0.91,0.73,4.39,1.82777,359.4390000
K2-374 c,K2-374,Transit,2022,16.43445000,,2.213,2.800000,,,5789.00,0.91,0.73,4.39,1.82777,359.4390000
K2-375 b,K2-375,Transit,2022,14.45389500,,2.243,2.760000,,,5822.00,1.54,1.12,4.11,0.39835,696.1000000
K2-376 b,K2-376,Transit,2022,5.77647500,,1.736,3.840000,,,5937.00,1.15,0.91,4.28,1.08719,161.6100000
K2-377 b,K2-377,Transit,2022,12.83223500,,1.693,3.970000,,,4200.00,0.69,0.82,4.67,2.79440,195.1490000
K2-378 b,K2-378,Transit,2022,2.06043800,,2.880,1.990000,,,4823.00,0.73,0.92,4.67,2.78878,687.9730000
K2-379 b,K2-379,Transit,2022,8.77724700,,2.181,2.860000,,,4603.00,0.75,0.86,4.62,2.10302,182.2070000
K2-38 b,K2-38,Transit,2016,4.01593000,0.050300,1.655,9.300000,0.110000,1310,5705.00,1.14,1.05,4.36,1.21000,192.6900000
K2-38 c,K2-38,Transit,2016,10.56103000,0.095900,2.490,2.630000,0.086000,949,5705.00,1.14,1.05,4.36,0.90362,192.6900000
K2-380 b,K2-380,Transit,2022,9.40131200,,2.729,2.130000,,,5911.00,1.32,0.99,4.19,0.55676,249.3030000
K2-381 b,K2-381,Transit,2022,7.93893340,,1.075,5.570000,,,4473.00,0.68,0.75,4.65,3.24287,145.7010000
K2-381 c,K2-381,Transit,2022,16.03465600,,2.000,3.200000,,,4473.00,0.68,0.75,4.65,3.24287,145.7010000
K2-381 d,K2-381,Transit,2022,26.80302300,,1.689,3.990000,,,4473.00,0.68,0.75,4.65,3.24287,145.7010000
K2-382 b,K2-382,Transit,2022,21.70015600,,2.072,3.060000,,,5452.00,0.81,0.92,4.58,2.29771,278.4120000
K2-383 b,K2-383,Transit,2022,1.86596200,,1.564,4.410000,,,5129.00,0.80,1.06,4.66,1.88251,203.7880000
K2-384 b,K2-384,Transit,2022,2.23152700,,1.076,5.560000,,,3623.00,0.35,0.33,4.87,11.20044,82.6603000
K2-384 c,K2-384,Transit,2022,4.19476600,,1.191,5.920000,,,3623.00,0.35,0.33,4.87,11.20044,82.6603000
K2-384 d,K2-384,Transit,2022,6.67958200,,1.392,5.130000,,,3623.00,0.35,0.33,4.87,11.20044,82.6603000
K2-384 e,K2-384,Transit,2022,9.71504300,,1.345,5.350000,,,3623.00,0.35,0.33,4.87,11.20044,82.6603000
K2-384 f,K2-384,Transit,2022,13.62749000,,2.222,2.790000,,,3623.00,0.35,0.33,4.87,11.20044,82.6603000
K2-385 b,K2-385,Transit,2022,2.38086700,,1.539,4.490000,,,4844.00,0.76,0.93,4.64,2.48774,420.8190000
K2-386 b,K2-386,Transit,2022,7.47322300,,2.320,2.640000,,,5749.00,0.97,0.91,4.42,1.59887,428.7850000
K2-387 b,K2-387,Transit,2022,28.73532700,,7.322,0.591000,,,3572.00,0.59,0.57,4.66,4.08881,266.3180000
K2-388 b,K2-388,Transit,2022,6.33906900,,3.660,1.460000,,922,5367.00,0.90,0.84,4.46,1.57761,290.4950000
K2-389 b,K2-389,Transit,2022,8.58404300,,2.184,2.850000,,,5782.00,1.08,0.80,4.27,0.63055,259.2080000
K2-389 c,K2-389,Transit,2022,20.85133700,,2.040,3.120000,,,5782.00,1.08,0.80,4.27,0.63055,259.2080000
K2-39 b,K2-39,Transit,2016,4.60543000,0.057080,6.277,0.500000,0.000000,1670,4881.00,2.97,0.66,3.44,0.04000,307.4700000
K2-390 b,K2-390,Transit,2022,3.31279200,,4.662,1.060000,,1119,5558.00,0.97,0.79,4.37,1.46127,456.1220000
K2-391 b,K2-391,Transit,2022,4.62265400,,1.371,5.220000,,,5543.00,0.57,0.76,4.97,0.22221,507.9400000
K2-392 b,K2-392,Transit,2022,15.39872300,,1.850,3.540000,,,5726.00,1.06,0.84,4.31,1.26736,406.9850000
K2-393 b,K2-393,Transit,2022,10.41318100,,2.352,2.590000,,,5678.00,1.07,0.88,4.32,1.18535,265.9140000
K2-394 b,K2-394,Transit,2022,5.09571700,,1.692,3.980000,,,4938.00,0.63,0.48,4.52,2.66688,98.0152000
K2-395 b,K2-395,Transit,2022,4.80335200,,2.597,2.280000,,,5007.00,0.78,0.95,4.63,1.71722,286.7270000
K2-395 c,K2-395,Transit,2022,8.49128200,,3.395,1.600000,,,5007.00,0.78,0.95,4.63,1.71722,286.7270000
K2-396 b,K2-396,Transit,2022,0.67386200,,1.579,4.350000,,,5236.00,0.92,0.95,4.49,1.37621,274.8640000
K2-396 c,K2-396,Transit,2022,25.76051000,,3.124,1.790000,,,5236.00,0.92,0.95,4.49,1.37621,274.8640000
K2-397 b,K2-397,Transit,2022,3.57232600,,2.417,2.500000,,,5387.00,0.97,0.94,4.44,1.47421,199.3540000
K2-398 b,K2-398,Transit,2022,6.39302500,,2.274,2.710000,,,5946.00,1.24,0.95,4.23,0.74890,606.9920000
K2-398 c,K2-398,Transit,2022,18.78783900,,5.098,0.946000,,,5946.00,1.24,0.95,4.23,0.74890,606.9920000
K2-399 b,K2-399,Transit,2022,0.75997800,,6.049,0.757000,,2529,5690.00,1.54,0.78,3.96,0.31129,515.4910000
K2-4 b,K2-4,Transit,2015,10.00341700,0.078000,2.100,3.000000,0.080000,563,4014.73,0.57,0.64,4.85,2.81523,231.8280000
K2-400 b,K2-400,Transit,2022,3.86505300,,1.163,5.830000,,,3578.00,0.38,0.37,4.85,9.34957,62.3804000
K2-401 b,K2-401,Transit,2022,6.29309900,,2.262,2.730000,,,4213.00,0.68,0.87,4.72,3.03273,200.7270000
K2-402 b,K2-402,Transit,2022,17.27474000,,2.678,2.190000,,,5716.00,1.28,0.94,4.20,0.76708,523.0550000
K2-403 b,K2-403,Transit,2022,33.58997900,,5.333,0.891000,,949,5511.00,0.89,0.78,4.44,1.75977,246.5990000
